venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
2956,1.686143793145369,1.0989362730175714,118,109,141,95,98,120,Estadio de la Revolucion,5,Triple-A,2016,447,Vaqueros de la Laguna,11
2503,1.7051368097389674,0.5915397493915022,118,109,130,106,103,115,Cashman Field,1,Triple-A,2017,400,Las Vegas 51s,11
2683,1.6812504011233265,1.597437524650605,118,109,151,85,92,125,Isotopes Park,1,Triple-A,2017,342,Albuquerque Isotopes,11
4350,2.115743078958527,0.8461373400053945,118,109,132,104,102,116,Suplizio Field,1,Rookie Advanced,2017,4364,Grand Junction Rockies,5442
2953,1.6914727433242596,1.3366261891864355,118,109,147,90,95,123,Parque Francisco I. Madero,3,Triple-A,2017,502,Saraperos de Saltillo,11
2822,1.5199554492465055,0.3323198969885815,118,109,125,110,105,113,Cooley Law School Stadium,3,Class A,2017,499,Lansing Lugnuts,14
2953,1.6960093062557924,0.3940546125773305,118,109,126,110,105,113,Parque Francisco I. Madero,4,Triple-A,2017,502,Saraperos de Saltillo,11
2510,1.5503539129235024,0.3748686827424191,118,109,126,109,105,113,Estadio Jose Bernardo Perez,5,Winter League,2017,696,Navegantes del Magallanes,17
3030,1.633428224815171,1.097319126375568,118,109,143,94,97,121,Estadio Alfonso Carrasquel,5,Winter League,2017,694,Caribes de Anzoategui,17
2807,1.544900098583485,0.39655352830771956,118,109,127,109,104,113,McCormick Field,2,Class A,2018,573,Asheville Tourists,14
3030,1.560204760174577,0.4921055054096708,118,109,128,107,103,114,Estadio Alfonso Carrasquel,3,Winter League,2018,694,Caribes de Anzoategui,17
2951,1.6692940975265023,1.166441301268941,118,109,142,93,97,121,Parque Lic. Eduardo Vasconcelos,4,Triple-A,2018,579,Guerreros de Oaxaca,11
4669,1.717942031393278,0.37272466346117983,118,109,126,111,105,113,Southwest University Park,4,Triple-A,2018,4904,El Paso Chihuahuas,11
2822,1.5065625216227492,0.2915533388823139,118,109,124,111,105,112,Cooley Law School Stadium,4,Class A,2018,499,Lansing Lugnuts,14
3470,1.9520699738248397,0.5313092025452819,118,109,127,108,104,113,Melaleuca Field,4,Rookie Advanced,2018,444,Idaho Falls Chukars,5442
4212,1.5310322368942533,1.4482489577753632,118,109,151,85,92,125,MIT Narrabundah Ballpark,1,Winter League,2019,4066,Canberra Cavalry,17
2956,1.8843096836863336,1.1129734985342972,118,109,139,97,99,120,Estadio de la Revolucion,3,Triple-A,2019,447,Algodoneros Union Laguna,11
2953,1.7517598186790568,1.135267925925542,118,109,140,95,98,120,Parque Francisco I. Madero,4,Triple-A,2019,502,Saraperos de Saltillo,11
2822,1.5103218776796072,0.5705347766048091,118,109,131,105,102,115,Cooley Law School Stadium,4,Class A,2019,499,Lansing Lugnuts,14
